neuron,target,train_acc,test_acc,train_auc,test_auc,train_f1,test_f1
0,context,0.3741379310344828,0.29655172413793107,0.6307576046198229,0.5740834480800155,0.3106625038915526,0.25051362430672774
0,water,0.6068965517241379,0.5931034482758621,0.5651637789479644,0.5728754578754578,0.5789163760846862,0.5640386046624821
0,lick_or_not,0.5982758620689654,0.6,0.5680862912233323,0.5738278388278388,0.5738679813283498,0.5730003743505946
1,context,0.28448275862068967,0.1724137931034483,0.5175941973714526,0.48252606070512255,0.2032405275578145,0.10232701348867404
1,water,0.5120689655172413,0.5103448275862069,0.4935811250778552,0.49127289377289374,0.4871876760721884,0.48231324955462895
1,lick_or_not,0.5206896551724137,0.5310344827586206,0.4981557538619721,0.4960347985347985,0.4683342180108575,0.4878893771815731
2,context,0.3327586206896552,0.29655172413793107,0.5903765141187296,0.5824062816791651,0.2740063699482073,0.22780172573276017
2,water,0.5741379310344827,0.5724137931034483,0.6370852443236511,0.6321978021978023,0.5552795200546166,0.5499510996381508
2,lick_or_not,0.5724137931034482,0.5793103448275863,0.6274371235127462,0.6207692307692307,0.5557429310898974,0.5596938925920294
3,context,0.32586206896551717,0.22758620689655168,0.6088891942945514,0.5945968387701798,0.2501982568293885,0.16230841423943093
3,water,0.5275862068965518,0.5310344827586206,0.6005023781212842,0.6010805860805861,0.5114544078206396,0.5007761288576918
3,lick_or_not,0.5293103448275862,0.5586206896551724,0.591460896947017,0.5934615384615385,0.5014350186653059,0.5107985485190566
4,context,0.3258620689655173,0.2896551724137931,0.6072166777242771,0.5874284740177189,0.2826949265101061,0.23078644941150223
4,water,0.6310344827586206,0.6413793103448275,0.6872580120038503,0.6766666666666666,0.6113679815358004,0.6170573897252664
4,lick_or_not,0.6224137931034484,0.6482758620689655,0.6801255744209472,0.670952380952381,0.60695379025407,0.6319226278059554
5,context,0.39655172413793105,0.37241379310344824,0.636233906040016,0.6248714556483435,0.3422786351840349,0.3127600348834469
5,water,0.6586206896551724,0.6482758620689655,0.6900530830643792,0.6871978021978021,0.6525670763056495,0.6411785283828674
5,lick_or_not,0.653448275862069,0.6551724137931034,0.6800076760352483,0.6776739926739926,0.6453865170397831,0.6467637193469818
6,context,0.3137931034482758,0.26206896551724135,0.5270799784934612,0.5289291047117134,0.25006258248306595,0.17673299550941377
6,water,0.5965517241379311,0.593103448275862,0.5398997791744521,0.5334981684981684,0.5591634929192567,0.5495456379672113
6,lick_or_not,0.5879310344827585,0.5931034482758621,0.5287220727204456,0.523021978021978,0.5540502521000679,0.5598044327118737
7,context,0.30172413793103453,0.2689655172413793,0.6097796419936675,0.5920563488761429,0.22599245875493254,0.17767748994182217
7,water,0.5758620689655173,0.5862068965517242,0.6641913679859577,0.6582967032967033,0.5517909615047738,0.5606374023529417
7,lick_or_not,0.5689655172413793,0.5655172413793104,0.6518780829216879,0.6468681318681319,0.5482613273457252,0.5408732904741542
8,context,0.30517241379310345,0.2206896551724138,0.5647511591667868,0.5661353003721425,0.22157896069733213,0.1405568392992328
8,water,0.5258620689655172,0.496551724137931,0.5095102910367476,0.5183058608058608,0.4756035932049108,0.44213744922802156
8,lick_or_not,0.5310344827586206,0.5034482758620691,0.5221191974070487,0.5316391941391941,0.5061293156166535,0.4742436811397163
9,context,0.3413793103448276,0.33103448275862063,0.6058713492999968,0.5808064215215245,0.2771611543188707,0.27650732868434363
9,water,0.5741379310344827,0.5793103448275861,0.6090563246701773,0.6100000000000001,0.5656401565685695,0.5696832250977379
9,lick_or_not,0.5741379310344827,0.5655172413793104,0.6035889088892448,0.6052380952380954,0.5634984467423518,0.5530814762382203
10,context,0.3879310344827586,0.29655172413793107,0.621160787689766,0.6068655647683107,0.3299260927585486,0.23787060363963092
10,water,0.6448275862068966,0.6482758620689655,0.705933058716947,0.70996336996337,0.6263530246639426,0.6261403616608058
10,lick_or_not,0.6465517241379309,0.6482758620689655,0.705277442179584,0.708058608058608,0.6259324528749592,0.6244454555298824
11,context,0.3413793103448276,0.33793103448275863,0.5874473395330948,0.5540529964568865,0.2983404216698024,0.30659647003592677
11,water,0.603448275862069,0.6137931034482759,0.6279136940150615,0.6316300366300366,0.5948242281799769,0.6044174054197269
11,lick_or_not,0.5982758620689654,0.593103448275862,0.6187539047542272,0.6192490842490843,0.58710014533533,0.5805723952385916
12,context,0.2844827586206896,0.19310344827586207,0.5489880083408293,0.530842984437378,0.19226068214772224,0.11366382246664683
12,water,0.5103448275862069,0.4551724137931036,0.4973151293811221,0.5003296703296704,0.4390465596647373,0.3814807259397375
12,lick_or_not,0.5086206896551724,0.5103448275862069,0.5039844845795135,0.506996336996337,0.45106005450483694,0.4635814896328644
13,context,0.38793103448275856,0.3310344827586207,0.6626279282086546,0.6546292675034093,0.3218835556555765,0.2739354209009381
13,water,0.6758620689655173,0.6758620689655173,0.7181861163014552,0.7261721611721612,0.6606105837792834,0.6580614417256097
13,lick_or_not,0.6689655172413793,0.6758620689655173,0.7190178634882011,0.7223626373626375,0.6540545326492515,0.6618368917034585
14,context,0.33103448275862074,0.2620689655172414,0.5420079230223374,0.5006736265895305,0.25472161270092525,0.17087641094537642
14,water,0.539655172413793,0.5448275862068965,0.5771196421493686,0.5786080586080586,0.5050747021135642,0.5056982851901183
14,lick_or_not,0.5448275862068966,0.5379310344827586,0.5647586008896563,0.5662271062271064,0.5216126446546665,0.5035440156797049
15,context,0.3137931034482759,0.2896551724137931,0.6048002699196067,0.6165125263752266,0.25194052338685485,0.22741362221281083
15,water,0.5051724137931034,0.5172413793103449,0.5472745739199365,0.5343772893772893,0.4923659444311097,0.5070161802215776
15,lick_or_not,0.5206896551724138,0.5241379310344828,0.5381794537533904,0.5258058608058608,0.5152175442498744,0.5207449963829274
16,context,0.3431034482758621,0.31724137931034485,0.6033062900855639,0.5898488794449893,0.2639341399077941,0.22695373816301284
16,water,0.5793103448275863,0.5793103448275861,0.6098981512938112,0.6172893772893773,0.541536285476867,0.543210893306372
16,lick_or_not,0.5741379310344827,0.5724137931034482,0.6117391010729831,0.6182417582417582,0.5210099612278476,0.5252439923552711
17,context,0.28793103448275864,0.24137931034482757,0.5434260412189368,0.5273885017220257,0.2258871900022874,0.19490191534269496
17,water,0.5344827586206897,0.5172413793103449,0.5624943378064662,0.5698717948717948,0.521567096196098,0.49640606187520886
17,lick_or_not,0.5241379310344827,0.496551724137931,0.5493576314675723,0.5565384615384616,0.5156923943550897,0.47665693768774997
18,context,0.31034482758620696,0.2827586206896552,0.562202453169357,0.5649055164261114,0.2548165157285107,0.21202480847766564
18,water,0.6068965517241379,0.593103448275862,0.5803313090991451,0.5899725274725275,0.582501077871225,0.5629243362001983
18,lick_or_not,0.596551724137931,0.5931034482758621,0.5715976619029991,0.5814010989010989,0.576518575388761,0.5696760307495728
19,context,0.2844827586206896,0.2,0.5665178365598567,0.5489746847355542,0.2218415909441837,0.12591767544028257
19,water,0.5224137931034483,0.4344827586206897,0.5303259300152879,0.40715201465201467,0.4950833560504252,0.40061785740417016
19,lick_or_not,0.5275862068965517,0.4413793103448276,0.530089775315978,0.4138186813186813,0.4664449737590461,0.36965429479553075
20,context,0.2982758620689655,0.26206896551724135,0.5720336576451125,0.5588374716435357,0.22860987803655206,0.18450796127469554
